jira号,分析问题时间,AI分析结果(飞书链接),AI评论总结,rootcause,结果置信度
VCU-414587,2026-12-31 14:32:26,,,,
VCU-536964,2026-08-25 14:07:32,,,,
VCU-213001,2025-06-09 15:08:46,,,,
VCU-466225,2026-04-03 09:06:27,,,,
VCU-405751,2025-12-23 10:52:34,,,,
VCU-156273,2024-04-29 01:55:43,,,,
VCU-446345,2026-03-17 14:04:22,,,,
VCU-420802,2026-01-04 14:25:35,,,,
VCU-535797,2026-08-21 14:15:52,,,,
VCU-445088,2026-01-15 09:35:47,,,,
VCU-231711,2025-08-04 16:22:27,,,,
VCU-512202,2026-06-29 16:04:37,,,,
VCU-447141,2026-03-19 14:10:56,,,,
VCU-488318,2026-05-15 16:07:59,,,,
VCU-408262,2025-12-10 13:51:01,,,,
VCU-223848,2025-07-02 16:14:12,,,,
VCU-495121,2026-06-01 15:24:07,,,,
VCU-491853,2026-05-22 10:31:44,,,,
VCU-226732,2025-08-24 15:59:05,,,,
VCU-198661,2025-04-23 17:30:25,,,,
VCU-218379,2025-07-21 21:42:58,,,,
VCU-216137,2025-07-18 14:54:27,,,,
VCU-405408,2025-12-18 13:41:54,,,,
VCU-223109,2025-07-08 13:50:49,,,,
VCU-214420,2025-06-11 15:44:52,,,,
VCU-207306,2025-06-17 14:44:17,,,,
VCU-238160,2025-09-03 12:56:49,,,,
VCU-449029,2026-03-24 10:59:51,,,,
VCU-241856,2025-09-29 15:14:40,,,,
VCU-202835,2025-05-28 09:36:38,,,,
VCU-241868,2025-10-03 08:42:54,,,,
VCU-233820,2025-09-20 16:24:22,,,,
VCU-238886,2025-10-27 14:04:58,,,,
VCU-536264,2026-08-24 15:19:32,,,,
VCU-533968,2026-08-18 14:48:03,,,,
VCU-420755,2026-12-31 14:20:30,,,,
VCU-226460,2025-08-24 14:56:08,,,,
VCU-480692,2026-04-24 10:17:49,,,,
VCU-488369,2026-05-15 16:14:45,,,,
VCU-409114,2025-10-16 18:58:25,,,,
VCU-215800,2025-07-28 10:23:41,,,,
VCU-404857,2025-10-24 21:36:54,,,,
VCU-422003,2026-02-10 16:06:03,,,,
VCU-419670,2026-01-19 16:08:23,,,,
VCU-434403,2026-01-27 17:35:33,,,,
VCU-216966,2025-07-24 16:55:13,,,,
VCU-417855,2026-01-17 18:20:25,,,,
VCU-480836,2026-04-24 10:10:33,,,,
VCU-421962,2026-01-13 15:31:49,,,,
VCU-489117,2026-05-18 16:45:25,,,,
VCU-222900,2025-07-04 14:44:42,,,,
,,,,,
VCU-538942,2026-08-30 10:33:30,,,,
