jira号,执行结果,报告长度,备注,执行时间,分析执行时间
VCU-420804,成功,0,分析任务已启动，Issue: VCU-420804 正在后台处理中,2026-03-21 15:19:18,2026-09-08 17:20:24
VCU-497816,成功,0,分析任务已启动，Issue: VCU-497816 正在后台处理中,2026-06-05 14:09:00,2026-09-08 17:20:24
VCU-413831,成功,0,分析任务已启动，Issue: VCU-413831 正在后台处理中,2025-12-30 06:14:39,2026-09-08 17:20:24
VCU-407381,成功,0,分析任务已启动，Issue: VCU-407381 正在后台处理中,2025-12-15 15:19:00,2026-09-08 17:20:24
VCU-227942,成功,0,分析任务已启动，Issue: VCU-227942 正在后台处理中,2025-08-12 15:45:00,2026-09-08 17:20:24
VCU-516889,成功,0,分析任务已启动，Issue: VCU-516889 正在后台处理中,2026-07-08 15:13:13,2026-09-08 17:20:24
VCU-495704,成功,0,分析任务已启动，Issue: VCU-495704 正在后台处理中,2025-06-02 16:30:00,2026-09-08 17:20:24
VCU-405305,成功,0,分析任务已启动，Issue: VCU-405305 正在后台处理中,2025-12-17 14:57:20,2026-09-08 17:20:24
VCU-215365,成功,0,分析任务已启动，Issue: VCU-215365 正在后台处理中,2025-07-23 11:32:43,2026-09-08 17:20:24
VCU-519798,成功,0,分析任务已启动，Issue: VCU-519798 正在后台处理中,2026-07-14 15:35:09,2026-09-08 17:20:24
VCU-234080,成功,0,分析任务已启动，Issue: VCU-234080 正在后台处理中,2025-09-15 09:11:25,2026-09-08 17:20:24
VCU-449239,成功,0,分析任务已启动，Issue: VCU-449239 正在后台处理中,2026-03-24 11:31:33,2026-09-08 17:20:24
VCU-238058,成功,0,分析任务已启动，Issue: VCU-238058 正在后台处理中,2025-11-14 11:05:41,2026-09-08 17:20:24
VCU-525543,成功,0,分析任务已启动，Issue: VCU-525543 正在后台处理中,2026-07-27 15:53:12,2026-09-08 17:20:24
VCU-471132,成功,0,分析任务已启动，Issue: VCU-471132 正在后台处理中,2026-04-14 17:20:10,2026-09-08 17:20:24
VCU-216222,成功,0,分析任务已启动，Issue: VCU-216222 正在后台处理中,2025-07-17 04:17:11,2026-09-08 17:20:24
VCU-219628,成功,0,分析任务已启动，Issue: VCU-219628 正在后台处理中,2025-07-02 17:12:38,2026-09-08 17:20:24
VCU-488639,成功,0,分析任务已启动，Issue: VCU-488639 正在后台处理中,2026-05-16 13:56:48,2026-09-08 17:20:24
VCU-410245,成功,0,分析任务已启动，Issue: VCU-410245 正在后台处理中,2025-12-29 14:45:56,2026-09-08 17:20:24
VCU-236742,成功,0,分析任务已启动，Issue: VCU-236742 正在后台处理中,2025-09-02 14:04:00,2026-09-08 17:20:24
