jira号,执行结果,报告长度,备注,触发时间,执行时间
VCU-414507,成功,0,分析任务已启动，Issue: VCU-414507 正在后台处理中,2025-12-31 14:56:00,2026-09-09 14:43:16
VCU-230224,成功,0,分析任务已启动，Issue: VCU-230224 正在后台处理中,2025-09-21 17:17:05,2026-09-09 14:43:16
VCU-223926,成功,0,分析任务已启动，Issue: VCU-223926 正在后台处理中,2025-07-07 10:54:00,2026-09-09 14:43:16
VCU-219542,成功,0,分析任务已启动，Issue: VCU-219542 正在后台处理中,2025-06-30 19:25:00,2026-09-09 14:43:16
VCU-498614,成功,0,分析任务已启动，Issue: VCU-498614 正在后台处理中,2026-06-08 12:58:00,2026-09-09 14:43:16
VCU-434837,成功,0,分析任务已启动，Issue: VCU-434837 正在后台处理中,2025-09-15 19:45:55,2026-09-09 14:43:16
VCU-407094,成功,0,分析任务已启动，Issue: VCU-407094 正在后台处理中,2025-11-18 10:16:00,2026-09-09 14:43:16
VCU-488012,成功,0,分析任务已启动，Issue: VCU-488012 正在后台处理中,2026-05-14 13:30:00,2026-09-09 14:43:16
VCU-225539,成功,0,分析任务已启动，Issue: VCU-225539 正在后台处理中,2025-07-09 16:37:00,2026-09-09 14:43:16
VCU-225795,成功,0,分析任务已启动，Issue: VCU-225795 正在后台处理中,2025-10-31 15:20:00,2026-09-09 14:43:16
VCU-215700,成功,0,分析任务已启动，Issue: VCU-215700 正在后台处理中,2025-07-23 14:10:00,2026-09-09 14:43:16
VCU-488537,成功,0,分析任务已启动，Issue: VCU-488537 正在后台处理中,2026-05-15 15:00:00,2026-09-09 14:43:16
VCU-504347,成功,0,分析任务已启动，Issue: VCU-504347 正在后台处理中,2025-06-17 13:28:00,2026-09-09 14:43:16
VCU-415416,成功,0,分析任务已启动，Issue: VCU-415416 正在后台处理中,2026-01-28 17:28:27,2026-09-09 14:43:16
VCU-432686,成功,0,分析任务已启动，Issue: VCU-432686 正在后台处理中,2026-04-13 11:24:01,2026-09-09 14:43:16
VCU-512090,成功,0,分析任务已启动，Issue: VCU-512090 正在后台处理中,2026-06-30 09:27:54,2026-09-09 14:43:16
VCU-516878,成功,0,分析任务已启动，Issue: VCU-516878 正在后台处理中,2025-07-08 15:13:00,2026-09-09 14:43:16
VCU-410755,成功,0,分析任务已启动，Issue: VCU-410755 正在后台处理中,2025-10-20 10:20:00,2026-09-09 14:43:16
VCU-219889,成功,0,分析任务已启动，Issue: VCU-219889 正在后台处理中,2025-07-16 15:30:00,2026-09-09 14:43:16
VCU-498715,成功,0,分析任务已启动，Issue: VCU-498715 正在后台处理中,2025-06-08 14:42:00,2026-09-09 14:43:16
