jira号,执行结果,报告长度,备注,触发时间,执行时间
VCU-483646,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2026-05-06 14:17:00,2026-09-17 22:23:25
VCU-526510,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2025-07-30 10:11:00,2026-09-17 22:23:25
VCU-498725,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2025-06-08 13:03:00,2026-09-17 22:23:25
VCU-484992,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2026-05-07 13:29:00,2026-09-17 22:23:25
VCU-403104,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2025-12-23 16:43:37,2026-09-17 22:23:25
VCU-539958,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2025-09-01 13:12:00,2026-09-17 22:23:25
VCU-525883,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2026-07-29 16:03:00,2026-09-17 22:23:25
VCU-514646,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2026-07-02 15:52:00,2026-09-17 22:23:25
VCU-494003,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2025-05-27 10:26:00,2026-09-17 22:23:25
VCU-220160,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2025-07-12 22:56:07,2026-09-17 22:23:25
VCU-487897,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2026-05-14 16:11:39,2026-09-17 22:23:25
VCU-505496,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2026-06-22 16:38:00,2026-09-17 22:23:25
VCU-238127,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2025-09-04 15:44:47,2026-09-17 22:23:25
VCU-506479,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2026-06-24 13:18:00,2026-09-17 22:23:25
VCU-546641,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2026-09-14 14:34:00,2026-09-17 22:23:25
VCU-216089,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2025-07-17 12:04:00,2026-09-17 22:23:25
VCU-497817,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2026-06-05 14:14:00,2026-09-17 22:23:25
VCU-496991,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2025-06-02 13:30:00,2026-09-17 22:23:25
VCU-488640,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2026-05-16 13:59:00,2026-09-17 22:23:25
VCU-229501,失败,0,[WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。,2025-08-12 17:53:00,2026-09-17 22:23:25
