jira号,执行结果,触发时间,执行时间,分析耗时,分析结果,备注
VCU-536589,成功,2026-08-25 12:57:57,2026-09-18 21:24:44,1039.44s,成功,
VCU-536684,成功,2026-08-25 14:35:39,2026-09-18 13:47:43,575.22s,成功,
VCU-536749,成功,2026-08-25 15:13:03,2026-09-18 20:22:00,825.94s,成功,
VCU-536767,成功,2026-08-25 15:51:13,2026-09-18 11:14:57,779.72s,成功,
VCU-536780,成功,2026-08-25 14:36:33,2026-09-19 10:14:03,523.13s,成功,
VCU-536860,成功,2026-08-25 16:50:38,2026-09-18 11:14:57,837.65s,成功,
VCU-536869,成功,2026-08-25 14:41:59,2026-09-19 10:14:03,670.4s,成功,
VCU-536892,成功,2026-08-25 17:08:54,2026-09-18 13:47:43,646.5s,成功,
VCU-536960,成功,2026-08-25 13:35:22,2026-09-18 21:24:44,843.61s,成功,
VCU-536966,成功,2026-08-25 14:07:32,2026-09-18 21:24:44,470.05s,成功,
VCU-537135,成功,2026-08-26 11:04:08,2026-09-18 13:47:43,569.37s,成功,
VCU-537263,成功,2026-08-26 14:36:05,2026-09-18 11:14:57,530.99s,成功,
VCU-537299,成功,2026-08-26 15:02:12,2026-09-18 15:12:30,611.7s,成功,
VCU-537309,成功,2026-08-25 17:23:25,2026-09-18 20:22:00,694.72s,成功,
VCU-537315,成功,2026-08-25 17:15:43,2026-09-19 10:14:03,607.17s,成功,
VCU-537377,成功,2026-08-26 14:08:00,2026-09-19 10:14:03,656.67s,成功,
VCU-537459,成功,2026-08-26 12:57:59,2026-09-19 10:14:03,502.94s,成功,
VCU-537755,成功,2026-08-27 11:47:17,2026-09-18 20:22:00,776.79s,成功,
VCU-537848,成功,2026-08-25 22:26:58,2026-09-18 21:24:44,985.47s,成功,
VCU-537964,成功,2026-08-27 16:01:03,2026-09-18 21:24:44,764.06s,成功,
VCU-538012,成功,2026-08-27 16:34:53,2026-09-18 13:47:43,747.63s,成功,
VCU-538021,成功,2026-08-27 16:37:58,2026-09-18 13:47:43,573.63s,成功,
VCU-538598,成功,2026-08-28 16:53:02,2026-09-18 15:12:30,459.43s,成功,
VCU-538668,成功,2026-08-28 15:48:55,2026-09-19 10:14:03,478.53s,成功,
VCU-538774,成功,2026-08-28 15:37:59,2026-09-18 20:43:37,766.85s,成功,
VCU-538844,成功,2026-08-28 20:24:44,2026-09-18 21:24:44,548.96s,成功,
VCU-539038,成功,2026-08-28 17:10:51,2026-09-19 10:14:03,754.18s,成功,
VCU-539276,成功,2026-08-31 16:52:25,2026-09-18 15:12:30,646.01s,成功,
VCU-539722,成功,2026-09-01 13:38:52,2026-09-18 11:14:57,400.31s,成功,
VCU-539756,成功,2026-09-01 13:43:47,2026-09-18 21:24:44,1374.54s,成功,
VCU-539799,成功,2026-09-02 09:52:41,2026-09-18 21:24:44,622.17s,成功,
VCU-539860,成功,2026-09-01 15:21:22,2026-09-18 21:24:44,1007.62s,成功,
VCU-539956,成功,2026-09-01 15:44:47,2026-09-19 10:14:03,716.48s,成功,
VCU-540037,成功,2026-09-01 15:56:58,2026-09-18 21:24:44,447.94s,成功,
VCU-540052,成功,2026-09-01 15:29:10,2026-09-18 20:43:37,650.99s,成功,
VCU-540074,成功,2026-07-07 12:28:46,2026-09-18 21:24:44,517.44s,成功,
VCU-540395,成功,2026-09-01 16:28:02,2026-09-19 10:14:03,476.34s,成功,
VCU-540438,成功,2026-09-01 16:40:00,2026-09-18 21:24:44,911.18s,成功,
VCU-540496,成功,2026-09-01 16:22:39,2026-09-18 20:22:00,757.1s,成功,
VCU-540502,成功,2026-09-01 18:50:11,2026-09-19 10:14:03,657.59s,成功,
VCU-540552,成功,2026-09-02 13:36:06,2026-09-18 21:24:44,286.58s,成功,
VCU-540778,成功,2026-09-02 09:58:49,2026-09-19 10:14:03,463.68s,成功,
VCU-540784,成功,2026-09-02 16:37:53,2026-09-18 11:14:57,478.98s,成功,
VCU-540833,成功,2026-09-02 09:44:37,2026-09-18 20:22:00,649.38s,成功,
VCU-540836,成功,2026-09-02 09:46:12,2026-09-18 20:22:00,709.95s,成功,
VCU-540855,成功,2026-09-02 16:00:32,2026-09-19 10:14:03,908.9s,成功,
VCU-540856,成功,2026-09-02 16:28:00,2026-09-18 20:43:37,722.26s,成功,
VCU-541270,成功,2026-09-03 14:52:34,2026-09-18 20:43:37,665.05s,成功,
VCU-541292,成功,2026-09-03 16:50:03,2026-09-18 21:24:44,464.77s,成功,
VCU-541387,成功,2026-09-03 17:07:04,2026-09-18 13:47:43,722.12s,成功,
VCU-541507,成功,2026-09-03 19:11:01,2026-09-18 21:24:44,441.47s,成功,
VCU-541836,成功,2026-09-03 13:34:00,2026-09-18 21:24:44,389.05s,成功,
VCU-542047,成功,2026-09-03 15:41:26,2026-09-19 10:14:03,850.88s,成功,
VCU-542404,成功,2026-09-03 14:21:47,2026-09-19 10:14:03,391.97s,成功,
VCU-542412,成功,2026-09-03 13:44:18,2026-09-19 10:14:03,589.75s,成功,
VCU-542510,成功,2026-09-07 14:10:25,2026-09-18 20:43:37,772.46s,成功,
VCU-542610,成功,2026-09-07 15:17:05,2026-09-18 21:24:44,1109.85s,成功,
VCU-543179,成功,2026-09-07 16:00:29,2026-09-18 11:36:24,358.54s,成功,
VCU-543410,成功,2026-09-08 10:54:24,2026-09-18 13:47:43,14.34s,失败,
VCU-543474,成功,2026-09-08 11:08:00,2026-09-18 21:24:44,994.15s,成功,
VCU-543523,成功,2026-09-08 14:12:31,2026-09-18 15:12:30,630.66s,成功,
VCU-543815,成功,2026-09-08 15:42:27,2026-09-18 20:43:37,677.37s,成功,
VCU-543861,成功,2026-09-08 17:40:53,2026-09-18 15:12:30,419.52s,成功,
VCU-544039,成功,2026-09-09 10:26:00,2026-09-18 11:24:22,336.73s,成功,
VCU-544130,成功,2026-09-09 13:10:04,2026-09-18 15:12:30,405.71s,成功,
VCU-544291,成功,2026-09-09 15:49:41,2026-09-18 15:12:30,680.08s,成功,
VCU-544469,成功,2026-09-09 17:08:44,2026-09-18 11:14:57,790.8s,成功,
VCU-544536,成功,2026-09-09 17:55:56,2026-09-18 13:47:43,655.22s,成功,
VCU-544541,成功,2026-09-09 16:55:41,2026-09-19 10:14:03,825.1s,成功,
VCU-544557,成功,2026-09-09 18:09:55,2026-09-18 13:47:43,196.99s,成功,
VCU-544561,成功,2026-09-09 18:10:34,2026-09-18 11:14:57,756.81s,成功,
VCU-544568,成功,2026-09-09 18:14:57,2026-09-18 13:47:43,703.57s,成功,
VCU-544569,成功,2026-09-09 18:15:02,2026-09-18 15:12:30,417.01s,成功,
VCU-544722,成功,2026-09-09 10:33:31,2026-09-18 21:24:44,449.56s,成功,
VCU-544807,成功,2026-09-10 10:45:21,2026-09-18 11:14:57,641.6s,成功,
VCU-544898,成功,2026-09-10 10:22:12,2026-09-18 20:43:37,592.64s,成功,
VCU-544908,成功,2026-09-10 13:59:34,2026-09-18 13:47:43,532.5s,成功,
VCU-544944,成功,2026-09-10 14:33:22,2026-09-18 13:47:43,537.28s,成功,
VCU-545433,成功,2026-09-11 10:34:22,2026-09-19 10:14:03,578.23s,成功,
VCU-545555,成功,2026-09-11 15:17:59,2026-09-18 11:36:24,389.62s,成功,
VCU-545559,成功,2026-09-11 15:12:08,2026-09-18 20:43:37,598.13s,成功,
VCU-545602,成功,2026-09-11 15:54:17,2026-09-18 13:47:43,553.26s,成功,
VCU-545653,成功,2026-09-11 15:00:00,2026-09-18 20:07:41,473.0s,成功,
VCU-545717,成功,2026-09-11 13:14:50,2026-09-18 20:07:41,501.42s,成功,
VCU-545852,成功,2026-09-11 17:37:13,2026-09-18 21:24:44,987.53s,成功,
VCU-545937,成功,2026-09-12 10:39:47,2026-09-19 10:14:03,606.51s,成功,
VCU-546210,成功,2026-09-13 09:21:24,2026-09-18 20:07:41,503.04s,成功,
VCU-546354,成功,2026-09-14 13:10:27,2026-09-18 13:47:43,615.62s,成功,
VCU-546941,成功,2026-09-15 14:20:15,2026-09-18 13:47:43,694.59s,成功,
VCU-546955,成功,2026-09-15 14:33:18,2026-09-18 13:47:43,713.11s,成功,
VCU-546957,成功,2026-09-15 14:37:26,2026-09-18 13:47:43,743.5s,成功,
VCU-546958,成功,2026-09-15 14:39:29,2026-09-18 11:14:57,507.32s,成功,
VCU-547078,成功,2026-09-15 13:52:30,2026-09-18 20:22:00,807.24s,成功,
VCU-547087,成功,2026-09-15 16:44:29,2026-09-18 15:12:30,700.38s,成功,
VCU-547157,成功,2026-09-15 15:50:40,2026-09-19 10:14:03,622.6s,成功,
VCU-547352,成功,2026-09-16 10:13:37,2026-09-18 11:14:57,513.61s,成功,
VCU-547604,成功,2026-09-16 15:15:46,2026-09-19 10:14:03,1094.56s,成功,
VCU-547686,成功,2026-09-16 16:05:27,2026-09-18 13:47:43,625.76s,成功,
VCU-547761,成功,2026-09-16 16:47:24,2026-09-18 13:47:43,660.49s,成功,
VCU-547861,成功,2026-09-16 17:47:44,2026-09-18 13:47:43,79.94s,成功,
