jira号,执行结果,报告长度,备注,触发时间,执行时间
VCU-537315,成功,,分析任务已启动，Issue: VCU-537315 正在后台处理中,2026-08-25 17:15:43,2026-09-19 10:14:03
VCU-547157,成功,,分析任务已启动，Issue: VCU-547157 正在后台处理中,2026-09-15 15:50:40,2026-09-19 10:14:03
VCU-537459,成功,,分析任务已启动，Issue: VCU-537459 正在后台处理中,2026-08-26 12:57:59,2026-09-19 10:14:03
VCU-542412,成功,,分析任务已启动，Issue: VCU-542412 正在后台处理中,2026-09-03 13:44:18,2026-09-19 10:14:03
VCU-540778,成功,,分析任务已启动，Issue: VCU-540778 正在后台处理中,2026-09-02 09:58:49,2026-09-19 10:14:03
VCU-545433,成功,,分析任务已启动，Issue: VCU-545433 正在后台处理中,2026-09-11 10:34:22,2026-09-19 10:14:03
VCU-538668,成功,,分析任务已启动，Issue: VCU-538668 正在后台处理中,2026-08-28 15:48:55,2026-09-19 10:14:03
VCU-545937,成功,,分析任务已启动，Issue: VCU-545937 正在后台处理中,2026-09-12 10:39:47,2026-09-19 10:14:03
VCU-540395,成功,,分析任务已启动，Issue: VCU-540395 正在后台处理中,2026-09-01 16:28:02,2026-09-19 10:14:03
VCU-542404,成功,,分析任务已启动，Issue: VCU-542404 正在后台处理中,2026-09-03 14:21:47,2026-09-19 10:14:03
VCU-542047,成功,,分析任务已启动，Issue: VCU-542047 正在后台处理中,2026-09-03 15:41:26,2026-09-19 10:14:03
VCU-540855,成功,,分析任务已启动，Issue: VCU-540855 正在后台处理中,2026-09-02 16:00:32,2026-09-19 10:14:03
VCU-544541,成功,,分析任务已启动，Issue: VCU-544541 正在后台处理中,2026-09-09 16:55:41,2026-09-19 10:14:03
VCU-540502,成功,,分析任务已启动，Issue: VCU-540502 正在后台处理中,2026-09-01 18:50:11,2026-09-19 10:14:03
VCU-539038,成功,,分析任务已启动，Issue: VCU-539038 正在后台处理中,2026-08-28 17:10:51,2026-09-19 10:14:03
VCU-536869,成功,,分析任务已启动，Issue: VCU-536869 正在后台处理中,2026-08-25 14:41:59,2026-09-19 10:14:03
VCU-536780,成功,,分析任务已启动，Issue: VCU-536780 正在后台处理中,2026-08-25 14:36:33,2026-09-19 10:14:03
VCU-539956,成功,,分析任务已启动，Issue: VCU-539956 正在后台处理中,2026-09-01 15:44:47,2026-09-19 10:14:03
VCU-547604,成功,,分析任务已启动，Issue: VCU-547604 正在后台处理中,2026-09-16 15:15:46,2026-09-19 10:14:03
VCU-537377,成功,,分析任务已启动，Issue: VCU-537377 正在后台处理中,2026-08-26 14:08:00,2026-09-19 10:14:03
