jira号,执行结果,报告长度,备注,触发时间,执行时间
VCU-190507,成功,0,分析任务已启动，Issue: VCU-190507 正在后台处理中,2025-02-05 17:04:15,2026-09-20 20:13:29
VCU-105015,成功,0,分析任务已启动，Issue: VCU-105015 正在后台处理中,2023-07-31 15:34:38,2026-09-20 20:13:29
VCU-514816,成功,0,分析任务已启动，Issue: VCU-514816 正在后台处理中,2026-07-02 18:20:08,2026-09-20 20:13:29
VCU-490926,成功,0,分析任务已启动，Issue: VCU-490926 正在后台处理中,2026-05-21 18:23:45,2026-09-20 20:13:29
VCU-201865,成功,0,分析任务已启动，Issue: VCU-201865 正在后台处理中,2025-04-09 20:36:00,2026-09-20 20:13:29
VCU-205973,成功,0,分析任务已启动，Issue: VCU-205973 正在后台处理中,2025-05-13 14:37:00,2026-09-20 20:13:29
VCU-91230,成功,0,分析任务已启动，Issue: VCU-91230 正在后台处理中,2023-04-23 16:28:11,2026-09-20 20:13:29
VCU-487242,成功,0,分析任务已启动，Issue: VCU-487242 正在后台处理中,2026-05-13 20:40:57,2026-09-20 20:13:29
VCU-193880,成功,0,分析任务已启动，Issue: VCU-193880 正在后台处理中,2025-03-25 20:49:00,2026-09-20 20:13:29
VCU-514791,成功,0,分析任务已启动，Issue: VCU-514791 正在后台处理中,2026-07-02 12:57:06,2026-09-20 20:13:29
VCU-496082,成功,0,分析任务已启动，Issue: VCU-496082 正在后台处理中,2026-06-01 14:31:43,2026-09-20 20:13:29
VCU-191731,成功,0,分析任务已启动，Issue: VCU-191731 正在后台处理中,2025-03-27 19:18:00,2026-09-20 20:13:29
VCU-122793,成功,0,分析任务已启动，Issue: VCU-122793 正在后台处理中,2023-11-07 09:44:31,2026-09-20 20:13:29
VCU-484798,成功,0,分析任务已启动，Issue: VCU-484798 正在后台处理中,2026-05-08 16:31:27,2026-09-20 20:13:29
VCU-162900,成功,0,分析任务已启动，Issue: VCU-162900 正在后台处理中,2024-07-10 13:45:00,2026-09-20 20:13:29
VCU-212734,成功,0,分析任务已启动，Issue: VCU-212734 正在后台处理中,2025-06-09 21:24:28,2026-09-20 20:13:29
VCU-215577,成功,0,分析任务已启动，Issue: VCU-215577 正在后台处理中,2025-07-29 00:38:42,2026-09-20 20:13:29
VCU-414099,成功,0,分析任务已启动，Issue: VCU-414099 正在后台处理中,2025-12-29 17:09:47,2026-09-20 20:13:29
VCU-206085,成功,0,分析任务已启动，Issue: VCU-206085 正在后台处理中,2025-06-04 16:50:39,2026-09-20 20:13:29
VCU-405811,成功,0,分析任务已启动，Issue: VCU-405811 正在后台处理中,2025-11-28 14:50:06,2026-09-20 20:13:29
