jira号,执行结果,报告长度,备注,触发时间,执行时间,分析并发数,下载并发数,模型,触发来源
VCU-419861,成功,0,分析任务已启动，Issue: VCU-419861 正在后台处理中,2026-01-20 21:37:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-239935,成功,0,分析任务已启动，Issue: VCU-239935 正在后台处理中,2025-10-11 13:36:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-230728,成功,0,分析任务已启动，Issue: VCU-230728 正在后台处理中,2025-07-30 21:44:22,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-243084,成功,0,分析任务已启动，Issue: VCU-243084 正在后台处理中,2025-11-13 14:13:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-210963,成功,0,分析任务已启动，Issue: VCU-210963 正在后台处理中,2025-06-11 14:42:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-480322,成功,0,分析任务已启动，Issue: VCU-480322 正在后台处理中,2025-04-22 19:02:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-446336,成功,0,分析任务已启动，Issue: VCU-446336 正在后台处理中,2025-07-03 14:42:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-499205,成功,0,分析任务已启动，Issue: VCU-499205 正在后台处理中,2026-06-09 14:04:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-511379,成功,0,分析任务已启动，Issue: VCU-511379 正在后台处理中,2026-06-26 17:20:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-438064,成功,0,分析任务已启动，Issue: VCU-438064 正在后台处理中,2025-06-17 15:27:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-234810,成功,0,分析任务已启动，Issue: VCU-234810 正在后台处理中,2025-09-11 23:42:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-228937,成功,0,分析任务已启动，Issue: VCU-228937 正在后台处理中,2025-08-19 19:22:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-237392,成功,0,分析任务已启动，Issue: VCU-237392 正在后台处理中,2025-09-09 12:01:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-547866,成功,0,分析任务已启动，Issue: VCU-547866 正在后台处理中,2026-09-16 15:49:24,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-487176,成功,0,分析任务已启动，Issue: VCU-487176 正在后台处理中,2026-05-13 20:30:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-415246,成功,0,分析任务已启动，Issue: VCU-415246 正在后台处理中,2026-01-26 13:44:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-224538,成功,0,分析任务已启动，Issue: VCU-224538 正在后台处理中,2025-07-12 20:09:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-422784,成功,0,分析任务已启动，Issue: VCU-422784 正在后台处理中,2026-02-09 13:56:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-225431,成功,0,分析任务已启动，Issue: VCU-225431 正在后台处理中,2025-07-01 14:22:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-470047,成功,0,分析任务已启动，Issue: VCU-470047 正在后台处理中,2026-04-10 15:05:56,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-425395,成功,0,分析任务已启动，Issue: VCU-425395 正在后台处理中,2026-03-11 14:27:34,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-231874,成功,0,分析任务已启动，Issue: VCU-231874 正在后台处理中,2025-08-01 16:07:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-547836,成功,0,分析任务已启动，Issue: VCU-547836 正在后台处理中,2026-09-16 15:25:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-213292,成功,0,分析任务已启动，Issue: VCU-213292 正在后台处理中,2025-06-16 13:48:28,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-488413,成功,0,分析任务已启动，Issue: VCU-488413 正在后台处理中,2026-05-15 13:35:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-425469,成功,0,分析任务已启动，Issue: VCU-425469 正在后台处理中,2026-03-11 09:53:06,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-478383,成功,0,分析任务已启动，Issue: VCU-478383 正在后台处理中,2026-04-21 09:55:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-211418,成功,0,分析任务已启动，Issue: VCU-211418 正在后台处理中,2025-06-04 13:19:12,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
VCU-489735,成功,0,分析任务已启动，Issue: VCU-489735 正在后台处理中,2026-05-19 11:43:00,2026-09-21 20:11:12,10,4,deepseek-v-pro,PC
