jira号,执行结果,报告长度,备注,触发时间,执行时间,分析并发数,下载并发数,模型,触发来源
VCU-236531,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-09-06 12:13:48,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-528193,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-08-04 14:49:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-234498,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-09-10 17:49:28,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-188538,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-03-20 15:39:33,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-425421,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-03-05 15:53:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-486314,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-05-21 18:19:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-245878,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-10-30 09:19:46,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-434881,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-08-26 10:25:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-487866,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-05-14 15:13:39,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-201240,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-05-09 15:21:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-487174,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-05-13 13:30:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-225508,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-07-04 13:20:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-196070,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-04-28 10:33:38,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-435044,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-10-22 19:50:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-222210,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-07-02 21:39:42,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-512644,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-07-03 18:04:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-211256,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-06-03 17:44:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-245053,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2025-11-10 20:52:41,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-471108,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-04-16 12:45:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-421150,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-01-06 15:12:19,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-526332,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-07-30 13:44:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-493642,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-05-27 05:18:20,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-530213,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2026-08-10 11:05:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
VCU-167837,成功,0,日志解析任务已成功受理，后台异步处理中，完成后自动回填Jira,2024-08-20 22:55:00,2026-09-22 22:26:29,10,4,deepseek-v-pro,PC
