"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","端到端流程","1","0","失败重试","0"
"0","","0","相似性比对","3","0","步骤比对","0"
"0","","0","数据库层","3","0","bugid 去重","0"
"0","","0","数据库层","1","0","只读约束","0"
"0","","0","相似性比对","2","0","文本余弦相似度","0"
"0","","0","Web 接口","1","0","流程执行","0"
"0","","0","相似性比对","1","0","阈值判定","0"
"0","","0","端到端流程","1","0","报表合并","0"
"0","","0","Web 接口","2","0","功能测试接口","0"
"0","","0","端到端流程","1","0","知识库手工入库","0"
"0","","0","Web 接口","1","0","页面与概览","0"
"0","","0","随机抽查复核","1","0","排除已抽查","0"
"0","","0","Web 接口","1","0","报表查询","0"
"0","","0","随机抽查复核","1","0","抽样与审核表格","0"
"0","","0","评论过滤","3","0","日志分析步骤提取","0"
"0","","0","Web 接口","1","0","配置读写","0"
"0","","0","相似性比对","1","0","根因比对","0"
"0","","0","评论过滤","1","0","有效评论补齐规则","0"
"0","","0","评论过滤","3","0","根因结论截断规则","0"
"0","","0","评论过滤","2","0","转给无效评论规则","0"
"0","","0","随机抽查复核","1","0","空候选池","0"
"0","","0","随机抽查复核","1","0","候选不足","0"
"0","","0","端到端流程","1","0","完整分析流程","0"
