"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"失败 bug 由开发手工触发重新分析，结论报表按 bugid 覆盖更新","270","test_retry_bug","tests","2026-08-14","passed","2026-08-14","","test_pipeline","",""
"空输入返回 0 分不报错","1","test_compare_steps_empty_input","tests","2026-08-14","passed","2026-08-14","","test_similarity","",""
"全部为新 bugid 时无过滤","2","test_filter_all_new","tests","2026-08-14","passed","2026-08-14","","test_db","",""
"工具去重查询不产生任何写入：查询后表中记录数不变","8","test_db_not_written_by_tool","tests","2026-08-14","passed","2026-08-14","","test_db","",""
"完全相同的文本相似度为 1","4","test_cosine_identical_texts","tests","2026-08-14","passed","2026-08-14","","test_similarity","",""
"analyze 接口执行流程并返回当日报表，空输入被拒绝","170","test_analyze_api","tests","2026-08-14","passed","2026-08-14","","test_web","",""
"按配置阈值判定一致/不一致","1","test_judge_result","tests","2026-08-14","passed","2026-08-14","","test_similarity","",""
"同日再次运行时，新结果按 bugid 覆盖合并，不产生重复行","356","test_csv_merge_on_rerun","tests","2026-08-14","passed","2026-08-14","","test_pipeline","",""
"功能测试2：评论提取与双重对比，一致样本判定通过","81","test_comment_compare_api","tests","2026-08-14","passed","2026-08-14","","test_web","",""
"完全不相关的文本相似度较低","2","test_cosine_different_texts","tests","2026-08-14","passed","2026-08-14","","test_similarity","",""
"store 仅推送已生成的分析文档，无文档时报错","87","test_store_bug_manual","tests","2026-08-14","passed","2026-08-14","","test_pipeline","",""
"首页可访问，概览接口返回统计与 mock 状态","38","test_index_and_overview","tests","2026-08-14","passed","2026-08-14","","test_web","",""
"下次抽查不再抽取已抽查过的 bugid，候选耗尽后报错","303","test_audit_excludes_audited_bugids","tests","2026-08-14","passed","2026-08-14","","test_audit","",""
"每日报表与抽查报表查询接口正常","103","test_report_api","tests","2026-08-14","passed","2026-08-14","","test_web","",""
"抽样指定数量重新分析，生成含相似度对比的人工审核表格","658","test_audit_generates_report","tests","2026-08-14","passed","2026-08-14","","test_audit","",""
"仅提取日志分析相关评论，噪音评论被过滤","0","test_extract_analysis_steps","tests","2026-08-14","passed","2026-08-14","","test_filter","",""
"保存配置写回文件并立即生效","30","test_config_save_and_reload","tests","2026-08-14","passed","2026-08-14","","test_web","",""
"相同步骤集合的平均相似度高于阈值","6","test_compare_steps_high_similarity","tests","2026-08-14","passed","2026-08-14","","test_similarity","",""
"报错原因关键词全部出现在文档中时命中比例为 1","1","test_compare_root_cause_hit","tests","2026-08-14","passed","2026-08-14","","test_similarity","",""
"有效评论少于3条时，自动补充最后三条评论（跳过已有效与纯转发评论）","0","test_fallback_adds_last_three_comments","tests","2026-08-14","passed","2026-08-14","","test_filter","",""
"无分析类评论且补齐评论过短时返回空列表","1","test_no_analysis_comments","tests","2026-08-14","passed","2026-08-14","","test_filter","",""
"关键词命中达标也视为到达结论（双判定机制）","26","test_truncate_by_keyword_hit","tests","2026-08-14","passed","2026-08-14","","test_filter","",""
"含“转给”但同时含有效关键词时以有效为准","0","test_forward_comment_with_keyword_still_valid","tests","2026-08-14","passed","2026-08-14","","test_filter","",""
"功能测试1：AI 分析生成文档，返回结论与步骤；空 bugid 被拒绝","5","test_ai_analyze_api","tests","2026-08-14","passed","2026-08-14","","test_web","",""
"空列表与含 None 的评论不报错","1","test_empty_and_none_comments","tests","2026-08-14","passed","2026-08-14","","test_filter","",""
"同一批输入中的重复 bugid 也会被过滤","2","test_filter_batch_duplicates","tests","2026-08-14","passed","2026-08-14","","test_db","",""
"未到达相似结论时全部评论参与对比；空结论不截断","34","test_truncate_no_match_keeps_all","tests","2026-08-14","passed","2026-08-14","","test_filter","",""
"完全不同的步骤集合相似度低于阈值","10","test_compare_steps_low_similarity","tests","2026-08-14","passed","2026-08-14","","test_similarity","",""
"含“转给”且无有效关键词的评论判定为无效，补齐时也不纳入","0","test_forward_comment_invalid","tests","2026-08-14","passed","2026-08-14","","test_filter","",""
"库内无记录时抽查直接报错","5","test_audit_empty_pool_raises","tests","2026-08-14","passed","2026-08-14","","test_audit","",""
"可用候选不足请求数量时抽查全部可用候选","107","test_audit_pool_smaller_than_count","tests","2026-08-14","passed","2026-08-14","","test_audit","",""
"到达与根因结论相似的评论后截断，后续评论不参与对比","6506","test_truncate_at_conclusion","tests","2026-08-14","passed","2026-08-14","","test_filter","",""
"输入含重复与不一致样本的 bugid 列表，验证步骤1~3 全部产出","338","test_run_pipeline_end_to_end","tests","2026-08-14","passed","2026-08-14","","test_pipeline","",""
"已存在的 bugid 被过滤，新的 bugid 通过","9","test_filter_new_bugids","tests","2026-08-14","passed","2026-08-14","","test_db","",""
